name,lat,lng,formatted_address,rating,extracted_activities,activity_scores
Kaludiya Pokuna,8.38807154493188,80.52491052357261,"Mihintale, Anuradhapura District, Sri Lanka",4.6,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Kantaka Chetiya,8.384603520217889,80.49287670461854,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Katu Seya,8.310203267246735,80.46196543256706,"Mihintale, Anuradhapura District, Sri Lanka",4.4,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Mahakanadara Wewa,8.37848644995428,80.50418953229602,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Mihindu Guhawa,8.334122358811417,80.50040374956795,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Mihindu Seya,8.325217598202606,80.52079790144415,"Mihintale, Anuradhapura District, Sri Lanka",4.8,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Mihintale Tablets,8.336010222027527,80.53050862998634,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Mihintale weva,8.327092456449911,80.48968835514387,"Mihintale, Anuradhapura District, Sri Lanka",4.6,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Mihinthalaya Rajamaha Viharaya,8.373334219144514,80.49647625568618,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Naga Pokuna,8.314886784249135,80.4734559889637,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Rajagirilena Rock,8.36623760943811,80.52829100591659,"Mihintale, Anuradhapura District, Sri Lanka",4.5,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Rajagirilena,8.365550910290613,80.4926799278331,"Mihintale, Anuradhapura District, Sri Lanka",5.0,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Sinha Pokuna,8.31538513332116,80.47555702394472,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Thapowanaya,8.337043033320288,80.46257698383809,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Timbiri Pokuna,8.378566520682707,80.52275460120904,"Mihintale, Anuradhapura District, Sri Lanka",4.1,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Vejja Sala,8.36452602491378,80.53743702270837,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Wasammale,8.353603875261234,80.48708807470307,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Mihintale Buddha Statue,8.35615111946223,80.51597493635914,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Maha Seya,8.376854345412555,80.47274822938638,"Mihintale, Anuradhapura District, Sri Lanka",3.8,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Ambasthala Dagoba,8.324797862503123,80.5269596933721,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Refectory (Alms Hall),8.3861602187004,80.50796298824903,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
The Sixty-Eight Caves,8.349672725917815,80.52340244125715,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Dage Main Shrine,8.3320839206174,80.52394314014845,"Mihintale, Anuradhapura District, Sri Lanka",4.4,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Mihintale Museum,8.374014645788451,80.49627904114116,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Rathne Gal Viharaya,8.369668885375784,80.48959278005206,"Mihintale, Anuradhapura District, Sri Lanka",4.1,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Kalu Diya Pokuna Forest,8.339856871912515,80.50193075870389,"Mihintale, Anuradhapura District, Sri Lanka",4.5,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Mihintale Spice Garden,8.34509737856164,80.50688429615552,"Mihintale, Anuradhapura District, Sri Lanka",4.8,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Old Hospital Ruins,8.33485204165793,80.5347046181397,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Lions Bath,8.340312335379888,80.5094305886477,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Naga Pokuna Forest Path,8.353410875971047,80.48851147472182,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
South Mihintale Stupa,8.3147978200018,80.57654651349786,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
West Katu Stupa,8.30720993588357,80.50274638154511,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
East Anuradhapura Temple,8.321439258024498,80.43997198852315,"Mihintale Region, North Central Province, Sri Lanka",4.8,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Lower Rajagiri Forest Reserve,8.356753273553732,80.48816451862106,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
West Sinha Ruins,8.403849292392872,80.57064144569176,"Mihintale Region, North Central Province, Sri Lanka",4.5,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Old Katu Lake,8.310153545983113,80.508859350034,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Old Kaludiya Forest Reserve,8.37171885174702,80.43065100020533,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
West Kaludiya Stupa,8.31933075205579,80.50769988681898,"Mihintale Region, North Central Province, Sri Lanka",4.8,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Ancient Mihintale Lake,8.42866685224223,80.46474056815664,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Lower Mihindu Path,8.299392977390836,80.44781129342725,"Mihintale Region, North Central Province, Sri Lanka",3.9,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Ancient Anuradhapura Lake,8.355138963411287,80.48048164006423,"Mihintale Region, North Central Province, Sri Lanka",4.3,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Ancient Katu Stupa,8.361774133308026,80.50239627454592,"Mihintale Region, North Central Province, Sri Lanka",4.8,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
New Mihindu Rock,8.374980124326395,80.43549342072771,"Mihintale Region, North Central Province, Sri Lanka",4.5,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
North Sinha Shrine,8.36565787811574,80.45920646902731,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
New Katu Viewpoint,8.309303618138484,80.50312620469614,"Mihintale Region, North Central Province, Sri Lanka",3.8,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
North Anuradhapura Lake,8.424923784160496,80.43472068888181,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
East Katu Rock,8.427542924559182,80.52299005633061,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
East Anuradhapura Rock,8.395330498573943,80.53052150350779,"Mihintale Region, North Central Province, Sri Lanka",4.5,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Lower Sinha Shrine,8.278102379129463,80.47140109584673,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
South Anuradhapura Viewpoint,8.363657354110357,80.46114868998394,"Mihintale Region, North Central Province, Sri Lanka",4.5,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
East Sinha Lake,8.368074792611568,80.52768657967968,"Mihintale Region, North Central Province, Sri Lanka",3.5,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Upper Kaludiya Shrine,8.344194307122134,80.52124217524715,"Mihintale Region, North Central Province, Sri Lanka",3.8,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Old Katu Cave,8.305289147425032,80.55611618515327,"Mihintale Region, North Central Province, Sri Lanka",3.6,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Lower Mihindu Lake,8.297744963156012,80.53709128352907,"Mihintale Region, North Central Province, Sri Lanka",4.7,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Old Rajagiri Forest Reserve,8.388976911687035,80.55008764896377,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Old Kaludiya Path,8.276580060867015,80.49420978194793,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Ancient Mihindu Cave,8.31076199050332,80.42051522533625,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Upper Mihindu Cave,8.335193499188417,80.4684420137473,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Upper Katu Cave,8.33165942655212,80.57998572418302,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Lower Rajagiri Temple,8.333957763858205,80.56281785070108,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
West Rajagiri Viewpoint,8.41916947607201,80.52901770818596,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
West Mihintale Stupa,8.427502632401964,80.55454840241357,"Mihintale Region, North Central Province, Sri Lanka",3.5,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
East Sinha Stupa,8.299373183754284,80.43212249338563,"Mihintale Region, North Central Province, Sri Lanka",3.8,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Old Katu Ruins,8.332511254107095,80.42531311301136,"Mihintale Region, North Central Province, Sri Lanka",4.3,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Old Mihindu Stupa,8.42874187116046,80.48810934358958,"Mihintale Region, North Central Province, Sri Lanka",3.9,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Upper Kaludiya Lake,8.352598830971084,80.46932124330611,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Lower Anuradhapura Forest Reserve,8.3030066285453,80.50903444568138,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Old Anuradhapura Shrine,8.407461633990367,80.53309902983673,"Mihintale Region, North Central Province, Sri Lanka",4.0,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Upper Mihintale Path,8.37694630725775,80.52734362818441,"Mihintale Region, North Central Province, Sri Lanka",4.5,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
South Mihintale Path,8.421245679866512,80.4376285176999,"Mihintale Region, North Central Province, Sri Lanka",3.7,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Old Mihindu Forest Reserve,8.39963718880607,80.49704249520828,"Mihintale Region, North Central Province, Sri Lanka",3.7,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
South Katu Rock,8.32702251468921,80.5581942002692,"Mihintale Region, North Central Province, Sri Lanka",4.3,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Old Kaludiya Rock,8.330338991630883,80.51018146896882,"Mihintale Region, North Central Province, Sri Lanka",4.7,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Ancient Rajagiri Path,8.339901691609791,80.42139672269012,"Mihintale Region, North Central Province, Sri Lanka",4.7,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
North Rajagiri Rock,8.41304571648366,80.53463799558958,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Upper Sinha Viewpoint,8.274386994194273,80.4442576362732,"Mihintale Region, North Central Province, Sri Lanka",4.6,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Lower Sinha Forest Reserve,8.270134701090724,80.50603693398841,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Old Mihindu Path,8.427550225038836,80.55857987372212,"Mihintale Region, North Central Province, Sri Lanka",4.6,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
West Mihintale Path,8.368798729227692,80.49269164403242,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['temple pilgrimages', 'spiritual retreats', 'meditation', 'yoga retreats', 'traditional ceremonies', 'arts and culture']","[5.0, 4.9, 4.8, 4.0, 4.5, 4.2]"
Ancient Anuradhapura Ruins,8.358325738001762,80.48343684956211,"Mihintale Region, North Central Province, Sri Lanka",3.9,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
North Katu Forest Reserve,8.36526637881199,80.49865758826411,"Mihintale Region, North Central Province, Sri Lanka",4.1,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
North Anuradhapura Path,8.319722707793648,80.42513635812887,"Mihintale Region, North Central Province, Sri Lanka",4.4,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Lower Mihindu Ruins,8.363594513759175,80.48158607247625,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Upper Sinha Shrine,8.339987870670386,80.5258726000224,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
New Katu Temple,8.421850431234212,80.50193540171604,"Mihintale Region, North Central Province, Sri Lanka",4.2,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Old Katu Shrine,8.288873963497782,80.49480092748311,"Mihintale Region, North Central Province, Sri Lanka",3.8,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
